61 Classes
Class------Number-----%------------------------------
+         |        27|    0.00067
0         |      1333|    0.03297
2         |      2209|    0.05464
3         |      1704|    0.04215
4         |      1146|    0.02835
5         |       727|    0.01798
6         |       649|    0.01605
7         |       672|    0.01662
8         |       594|    0.01469
9         |       649|    0.01605
a         |      1812|    0.04482
alpha     |      1119|    0.02768
B         |      1098|    0.02716
beta      |       266|    0.00658
bracket   |     10317|    0.2552
cos       |       241|    0.00596
d         |       475|    0.01175
Delta     |        69|    0.00171
div       |       178|    0.0044
E         |       345|    0.00853
f         |       279|    0.0069
forall    |        32|    0.00079
g         |       206|    0.0051
gamma     |        43|    0.00106
geq       |        65|    0.00161
h         |        94|    0.00233
i         |       894|    0.02211
in        |        22|    0.00054
infty     |       127|    0.00314
int       |       175|    0.00433
k         |       452|    0.01118
leq       |       101|    0.0025
lim       |       142|    0.00351
log       |       221|    0.00547
lt        |        32|    0.00079
m         |       244|    0.00604
mu        |        21|    0.00052
n         |      1684|    0.04166
neq       |        53|    0.00131
o         |        38|    0.00094
p         |       484|    0.01197
phi       |        53|    0.00131
pi        |       200|    0.00495
pm        |       145|    0.00359
q         |       238|    0.00589
R         |       389|    0.00962
s         |       217|    0.00537
sigma     |         5|    0.00012
sin       |       323|    0.00799
sqrt      |       950|    0.0235
sum       |       226|    0.00559
t         |       488|    0.01207
tan       |       108|    0.00267
theta     |       280|    0.00693
times     |       561|    0.01388
u         |       280|    0.00693
v         |       241|    0.00596
w         |        71|    0.00176
x         |      2956|    0.07312
y         |      1073|    0.02654
z         |       584|    0.01445
